Character,Count
፡,71312
መ,17992
ሻ,9540
ት,8785
ን,6474
ያ,6255
ጥ,6024
ክ,5975
በ,4090
ቋ,3769
ም,3091
ል,3056
ሌ,2362
ው,2031
ና,1925
ሳ,1891
ጣ,1867
ታ,1836
ተ,1701
ላ,1616
ሊ,1554
ብ,1324
ማ,1319
ቀ,1227
ባ,1216
ይ,1201
ፋ,1181
ጋ,1054
ጓ,936
ዋ,826
ደ,734
የ,732
ራ,714
ድ,701
ዳ,693
ግ,687
ከ,629
ስ,602
ዐ,572
ዘ,567
ለ,510
ገ,477
ሇ,406
ዲ,356
ዴ,308
ሰ,304
ፊ,277
ሣ,226
ካ,220
ወ,216
ነ,215
ጻ,187
ፍ,170
ጅ,160
ኗ,145
ቻ,129
ዯ,118
ዛ,101
ጳ,100
አ,97
ጸ,89
ጠ,87
ረ,83
ሟ,74
ቲ,73
ፃ,71
ቃ,69
ቅ,68
ሜ,64
ጽ,52
፤,51
ር,48
ዏ,47
ጂ,43
ዉ,40
ሸ,39
ዝ,38
ሚ,31
ጉ,28
ፌ,25
ኤ,25
ፀ,23
ቄ,23
ቢ,22
ቕ,21
ቪ,20
ኮ,20
ቐ,19
ሥ,19
ሶ,18
ሯ,18
ሲ,18
቉,17
ቡ,17
፣,17
ፅ,17
ፒ,16
ጵ,16
ሽ,16
ቚ,15
ቘ,15
ኦ,14
ዟ,14
ኑ,13
ኬ,13
ፈ,13
ዶ,12
ጫ,12
ኛ,12
ጃ,11
ሠ,11
ኳ,11
ሉ,11
ኪ,11
ኢ,10
ጕ,10
቟,9
ፓ,9
ሪ,9
ች,8
ቺ,8
ጦ,8
ሮ,7
ቸ,7
ቦ,7
ዎ,7
቎,7
ኩ,6
ኟ,6
ሗ,6
ጯ,6
ሎ,6
ቊ,5
ቬ,5
ዮ,5
እ,5
዗,4
ቁ,4
ሞ,4
ቧ,4
዇,4
ሿ,4
ጀ,4
ቈ,3
ዧ,3
ቱ,3
ኒ,3
ዙ,3
ቌ,3
ኲ,3
ዬ,3
ዌ,3
ጭ,3
ቆ,3
ዱ,3
ቼ,2
ዸ,2
ጧ,2
ፇ,2
፼,2
ቮ,2
ፏ,2
ፑ,2
ዀ,2
ዔ,2
ዣ,2
ቨ,2
ሩ,2
ቶ,2
ቑ,2
ቍ,2
፩,2
ቿ,2
ዠ,2
ቔ,2
ጢ,1
ኼ,1
፴,1
ጊ,1
ህ,1
ሃ,1
ቓ,1
ጌ,1
ቂ,1
ዞ,1
ዄ,1
ሺ,1
፥,1
ቖ,1
ኋ,1
ጎ,1
ኁ,1
ዩ,1
ሆ,1
ጐ,1
ዂ,1
ዓ,1
ሬ,1
ዒ,1
ሱ,1
ዖ,1
ጿ,1
።,1
ዺ,1
ጨ,1
ኊ,1
ቜ,1
ቴ,1
